noun	verb	frequency
web	has	3
web	was	3
website	are	3
website	has	3
work	has	3
you	''re	3
you	had	3
you	see	3
you	wanted	3
your	work	3
content	has	2
content	includes	2
data	has	2
data	provided	2
data	using	2
data	work	2
design	are	2
design	focusing	2
groups	are	2
groups	have	2
groups	were	2
he	asked	2
i	created	2
i	find	2
i	get	2
i	looked	2
i	worked	2
information	needs	2
information	using	2
issues	identified	2
it	allowed	2
it	had	2
it	includes	2
it	makes	2
it	were	2
libraries	has	2
library	are	2
library	does	2
library	including	2
library	needs	2
library	use	2
me	think	2
my	work	2
our	focus	2
our	test	2
our	working	2
pages	was	2
process	is	2
projects	do	2
projects	include	2
projects	is	2
question	was	2
questions	used	2
research	done	2
research	has	2
research	was	2
service	are	2
service	has	2
service	was	2
space	are	2
space	is	2
space	made	2
spaces	has	2
spaces	was	2
students	asking	2
students	have	2
students	using	2
students	wanted	2
study	is	2
study	were	2
teams	are	2
testing	allowed	2
testing	does	2
testing	done	2
them	use	2
they	''re	2
they	be	2
they	create	2
they	help	2
they	included	2
they	needed	2
they	saw	2
they	wanted	2
time	doing	2
times	are	2
usability	allows	2
user	is	2
user	tests	2
user	uses	2
users	need	2
ux	being	2
ux	thinking	2
ux	using	2
we	build	2
we	create	2
we	include	2
we	knew	2
we	look	2
we	tested	2
we	understand	2
web	have	2
website	had	2
website	using	2
websites	included	2
work	was	2
you	''ve	2
you	did	2
you	get	2
you	know	2
you	look	2
you	take	2
you	test	2
you	were	2
your	think	2
’s	be	2
content	be	1
content	do	1
content	was	1
data	have	1
data	help	1
data	helped	1
data	identified	1
data	provide	1
data	provides	1
design	built	1
design	helps	1
design	known	1
design	make	1
design	uses	1
design	using	1
designs	are	1
experience	are	1
experience	getting	1
experience	improves	1
experience	made	1
experience	take	1
experience	was	1
experience	working	1
experiences	are	1
experiences	do	1
group	focused	1
group	made	1
groups	identified	1
groups	is	1
groups	looking	1
groups	using	1
groups	working	1
he	does	1
he	found	1
he	identifies	1
he	knew	1
he	takes	1
he	took	1
her	need	1
her	work	1
himself	taking	1
i	ask	1
i	asked	1
i	got	1
i	help	1
i	helped	1
i	identified	1
i	identify	1
i	include	1
i	knew	1
i	made	1
i	make	1
i	needed	1
i	saw	1
i	tested	1
i	understand	1
i	used	1
i	wanted	1
information	made	1
information	provide	1
information	was	1
information	were	1
issue	is	1
issue	was	1
issues	are	1
issues	was	1
issues	were	1
issues	working	1
it	are	1
it	develops	1
it	finds	1
it	got	1
it	helps	1
it	identifies	1
it	included	1
it	looked	1
it	made	1
it	need	1
its	focus	1
its	tests	1
its	use	1
itself	does	1
itself	was	1
libraries	allow	1
libraries	create	1
libraries	does	1
libraries	doing	1
libraries	get	1
libraries	make	1
libraries	provide	1
libraries	used	1
libraries	using	1
libraries	wants	1
libraries	was	1
libraries	were	1
library	allowed	1
library	ask	1
library	being	1
library	did	1
library	get	1
library	helped	1
library	included	1
library	includes	1
library	knew	1
library	need	1
library	see	1
library	uses	1
library	using	1
library	wanted	1
library	works	1
me	being	1
me	doing	1
me	identify	1
me	make	1
me	want	1
me	work	1
my	test	1
my	use	1
our	need	1
our	needs	1
our	using	1
ourselves	ask	1
page	focus	1
page	had	1
page	has	1
pages	are	1
pages	includes	1
pages	is	1
pages	need	1
pages	were	1
process	allowed	1
process	has	1
process	helped	1
process	provides	1
processes	are	1
processes	is	1
project	are	1
project	focused	1
project	includes	1
project	looking	1
project	needs	1
project	using	1
project	work	1
projects	based	1
projects	focused	1
projects	was	1
projects	were	1
question	asking	1
question	asks	1
question	has	1
questions	based	1
questions	did	1
questions	do	1
questions	have	1
questions	make	1
questions	need	1
questions	want	1
research	allows	1
research	are	1
research	did	1
research	does	1
research	found	1
research	help	1
research	taking	1
research	using	1
research	were	1
