sizes in words
9310
8761
8081
8063
7806
7717
7419
5820
5765
5701
5531
5302
4822
4734
4578
4383
4227
4049
3131
2779
2778
2503
2432
2294
2287
2260
2253
1950
1774
1571
1319
916
548
378
170
